title,company,site,it_role_type,city,final_tech_stack
[Remote] Senior/Team Lead PHP Developer,Saigon Technology,ITViec,Backend Developer,Đà Nẵng,"Agile, Aws, Php, Html, Css"
IT Manager,Nakivo,ITViec,IT Manager,Hồ Chí Minh,Not Specified
Mid - Lead Software Engineer,Katalon,ITViec,Full-stack Developer,Hồ Chí Minh,"Java, React, Docker"
Middle Frontend Developer,Skill 4 Asia,ITViec,Frontend Developer,Hà Nội,"Typescript, Javascript, React, Html/Css, Html, Css"
Senior Data Engineer,Vinamilk,ITViec,Data Engineer,Hồ Chí Minh,"Java, Python"
Remote Golang / Go Engineer - Up to 100M/month,Modern Coding,ITViec,Backend Developer,Not Specified,Go
Intermediate Tester,Topicus Vietnam,ITViec,QA Engineer,Hồ Chí Minh,
Bridge Software Engineer,Teqnological Asia,ITViec,Bridge Software Engineer,Hồ Chí Minh,
Wordpress Developer,CÔNG TY TNHH WOZEL TTP,ITViec,Wordpress Developer,Hồ Chí Minh,Python
IT System & Solution Leader,CÔNG TY CỔ PHẦN NEXA VIỆT NAM,ITViec,IT Project Manager,Hồ Chí Minh,"Aws, Not Specified"
Data Engineer,Beyondsoft Technology (Vietnam) Company Limited,ITViec,Data Engineer,Hồ Chí Minh,"Aws, Sql, Python"
Fullstack Software Engineer,Vireo Health,ITViec,Fullstack Developer,Hồ Chí Minh,"Docker, Java, Aws, Python"
Backend Engineer,NAVER VIETNAM,ITViec,Backend Developer,Hồ Chí Minh,"Java, React, Javascript, Kotlin"
Data Engineer,SAVILLS VIETNAM,ITViec,Data Engineer,Hồ Chí Minh,"Agile, Sql, Python"
Fullstack Developer Python/ReactJS/AI,CodeLink,ITViec,Fullstack Developer,Hồ Chí Minh,"Sql, Javascript, Aws, React, Python, Agile"
Senior Fullstack Engineer,BEWAO CORPORATION,ITViec,Full-stack Developer,Hồ Chí Minh,"Typescript, React, Css"
Full Stack Developer,iorta TechNXT,ITViec,Full-stack Developer,Hồ Chí Minh,"C#, React"
Giám đốc Công Nghệ - HD Financial Group,HDBank,ITViec,IT Manager,Hồ Chí Minh,"Aws, Not Specified"
CV Chất lượng Dữ liệu- Data Governance Specialist,MB Bank,ITViec,Data Governance Specialist,Hà Nội,"Sql, Python"
DevOps Engineer,FORTNA,ITViec,DevOps Engineer,Hà Nội,"Docker, Aws, Bash, Python, Agile"
Fullstack Developer,Glory Software Vietnam,ITViec,Fullstack Developer,Đà Nẵng,Javascript
Chuyên viên Quản trị hệ thống CNTT,VRB,ITViec,System Administrator,Hà Nội,
Home Trading System Developer,Daoukiwoom Innovation,ITViec,Frontend Developer,Hồ Chí Minh,"Agile, Javascript"
Frontend Developer,Bray Leion Splash Group,ITViec,Frontend Developer,Hồ Chí Minh,"Javascript, Agile, React, Html, Css"
AI Engineer,Company Central Pte. Ltd.,ITViec,AI Engineer,Đà Nẵng,"Agile, Python"
Senior SRE,Be Group,ITViec,Site Reliability Engineer,Hồ Chí Minh,"Docker, Aws, Go, Python"
Middle/Senior C# Developer,"Rakuten Fintech Vietnam Co., Ltd.",ITViec,Backend Developer,Hồ Chí Minh,"Java, C#"
3D Rigging Artist,CÔNG TY TNHH VLAST VIỆT NAM,ITViec,Other IT Role,Hồ Chí Minh,Python
Automation Tester,Netcompany,ITViec,Automation Tester,Hồ Chí Minh,"Agile, Not Specified"
Frontend Developer,BLUE DRAGON COMMUNICATIONS,ITViec,Frontend Developer,Hồ Chí Minh,"Css3, Html5, Javascript, React"
Game Tester,Athena Studio,ITViec,QA Engineer,Hồ Chí Minh,Agile
Middle/Senior Java Engineer,NAB Innovation Centre Vietnam,ITViec,Java Engineer,Hồ Chí Minh,"Java, Aws, Agile, Docker"
VTS - Kỹ Sư Phát Triển ứng dụng Web,Viettel Group,ITViec,Web Application Developer,Hà Nội,"Html, Docker, Javascript, React, Java, Php, C#, Css"
Senior Quality Engineer,Crossian,ITViec,QA Engineer,Hà Nội,"Java, Agile, Javascript"
Big Data Engineer,Viettel Group,ITViec,Big Data Engineer,Hà Nội,"Java, Scala, Sql"
AI Engineer,MB Bank,ITViec,AI Engineer,Hà Nội,"Docker, C++, Python"
Frontend developer,"SOFTFLEX LLC CO.,LTD",ITViec,Frontend Developer,Hà Nội,"Typescript, Javascript, React, Html/Css, Php, Html, Css"
Technical Lead,WATA Software,ITViec,Technical Lead,Hồ Chí Minh,"Javascript, Not Specified, Aws, Python, Java, C#"
iOS Engineer,Mynavi TechTus Vietnam,ITViec,Mobile Developer,Đà Nẵng,"Agile, Dart, Swift"
Nhân viên IT Ứng dụng & Hệ thống,"OQR CO., LTD",ITViec,Other IT Role,Hồ Chí Minh,
Backend NodeJS Developer,Digital Unicorn,ITViec,Backend Developer,Đà Nẵng,"Typescript, Javascript"
Senior/Middle DevOps Engineer,MAXIMUS SOLUTION COMPANY LIMITED,ITViec,DevOps Engineer,Hồ Chí Minh,"Docker, Aws, Python"
05 Back-end NodeJS Developer,ICONDO VIETNAM COMPANY LIMITED,ITViec,Backend Developer,Hồ Chí Minh,"Golang, Aws, React, Nodejs"
Leader for DIAG Team,FPT Software,ITViec,Embedded Engineer,Hồ Chí Minh,"C++, C"
Senior Java Backend Engineer,LINE Technology Vietnam,ITViec,Backend Developer,Hà Nội,Java
Embedded Linux Engineer,Datalogic Việt Nam,ITViec,Embedded Engineer,Hồ Chí Minh,C++
Front-end Developer,Nami Corporation,ITViec,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, React, Html/Css, Html, Css"
Senior Software Engineer,Clearer.io,ITViec,Senior Software Engineer,Hồ Chí Minh,"Docker, Javascript, Aws, React, Python, Php"
02 Associate Reporting Specialist,Confluence Vietnam (HCMC),ITViec,Data Analyst,Hồ Chí Minh,
Senior PHP Developer,CÔNG TY TNHH KỸ THUẬT SỐ DR,ITViec,Backend Developer,Hồ Chí Minh,"Php, Sql"
Senior Backend Engineer,Viet Thai International,ITViec,Backend Developer,Hồ Chí Minh,"Golang, Python"
Technical Leader,CÔNG TY CỔ PHẦN COMACPRO,ITViec,Technical Leader,Hà Nội,"Java, Sql"
,Topicus Vietnam,ITViec,Backend Developer,Hồ Chí Minh,"C#, Sql"
Fullstack Developer,OTS,ITViec,Fullstack Developer,Hồ Chí Minh,"Javascript, Agile, React, Python, Java, Html"
Senior Scrum Master,iDeaLogic,ITViec,Scrum Master,Hồ Chí Minh,"Sql, Html, Javascript, Agile, React, Html/Css, C#, Css"
Junior Backend Developer,CÔNG TY TNHH JDO GROUP,ITViec,Backend Developer,Đà Nẵng,"Sql, Docker, Node.Js, Aws, Go"
Technical Scrum Master,TymeX,ITViec,Technical Scrum Master,Hồ Chí Minh,"Sql, Javascript, Agile, Java, C#"
Remote Senior Fullstack Engineer,Fram,ITViec,Full-stack Developer,Not Specified,"Agile, Javascript"
Senior Software Engineer,Port Cities Vietnam,ITViec,Software Engineer,Hồ Chí Minh,"Aws, Javascript, Python, Sql"
Mobile Developer,Fincorp.,ITViec,Mobile Developer,Hồ Chí Minh,"Xcode, Javascript, React"
Junior iOS developer,Techbase Vietnam,ITViec,Mobile Developer,Hồ Chí Minh,"Java, Xcode, React, Swift"
Senior DevOps Engineer,TymeX,ITViec,DevOps Engineer,Hồ Chí Minh,"Docker, Aws, Agile, Python"
Trưởng nhóm Giải pháp CNTT,SMARTECH,ITViec,IT Project Manager,Hà Nội,Agile
Java Backend Developer,CÔNG TY CỔ PHẦN CITICS,ITViec,Backend Developer,Hồ Chí Minh,"Java, Agile, Sql"
Chuyên viên Vận hành Công nghệ,SHBFinance,ITViec,NOC Engineer,Hà Nội,Not Specified
Senior .NET Core Developer,Quang Trung Software Development,ITViec,Backend Developer,Hồ Chí Minh,"Sql, Docker, Agile, Aws, React, Java, C#"
Senior Automation Engineer,Timo,ITViec,Automation Engineer,Hồ Chí Minh,Python
CVCC Kiến trúc Giải pháp DL- Data Solution Architect,MB Bank,ITViec,Data Solution Architect,Hà Nội,Sql
Junior Scrum Master/Agile Coach,Công ty Cổ phần Chứng khoán An Bình,ITViec,Other IT Role,Hà Nội,Agile
Caspeco - Sr Frontend Dev,Scandinavian Software Park,ITViec,Frontend Developer,Hà Nội,"React, Typescript, Javascript, C#"
Senior Backend Engineer - AGI,Trusting Social,ITViec,Backend Developer,Hồ Chí Minh,"Docker, Golang, Sql, Python"
Technical Artist,Công ty TNHH Marketing Metas Group,ITViec,Technical Artist,Hà Nội,C#
Senior Front-end Developer,DOL English,ITViec,Frontend Developer,Hồ Chí Minh,"React, Typescript, Javascript"
NodeJS Developer,Saigon Technology,ITViec,Backend Developer,Đà Nẵng,"Aws, Agile"
Senior/Lead Data Scientist,M_Service (MoMo),ITViec,Data Scientist,Hồ Chí Minh,Python
Junior Fullstask Developer,Công ty Cổ phần Xherozone,ITViec,Full-stack Developer,Hồ Chí Minh,Javascript
Data Analysis and Fraud model,MB Bank,ITViec,Data Scientist,Hà Nội,Python
Leader QC Engineer,VNGGames,ITViec,QA Engineer,Hồ Chí Minh,"Typescript, Docker, Javascript, Aws, Java"
Senior Automation Test Engineer,Crossian,ITViec,QA Engineer,Hà Nội,"Java, Agile, Javascript"
Senior Consultant,Port Cities Vietnam,ITViec,Business Analyst,Hồ Chí Minh,Python
DevOps Engineer,SSI Securities Corporation,ITViec,DevOps Engineer,Hà Nội,"Docker, Bash, Python"
Senior/Middle Front-end,"Esoft Vietnam., Ltd",ITViec,Frontend Developer,Hà Nội,"React, Typescript, Javascript, Agile"
CyberSecurity Solution Engineer,ASIC Technologies,ITViec,Cybersecurity Specialist,Hồ Chí Minh,Not Specified
AI Engineer,Renova Cloud,ITViec,AI Engineer,Hồ Chí Minh,"R, C++, Aws, Python, Java, Agile"
Junior PM - Japanese&amp;English speaking,Renesas Design Vietnam,ITViec,IT Project Manager,Hồ Chí Minh,Agile
"Senior Devops Engineer, Upto 2000$",Veriserve Việt Nam,ITViec,DevOps Engineer,Hà Nội,"Docker, Aws, Bash, Go, Python"
3 React Native Developers,HDWEBSOFT,ITViec,Mobile Developer,Hồ Chí Minh,"Xcode, Typescript, Javascript, React"
Chuyên gia quản trị cơ sở dữ liệu,SSI Securities Corporation,ITViec,Database Engineer,Hà Nội,"T-Sql, Plsql, Sql"
Kỹ sư cầu nối - BrSE,AZoom VietNam,ITViec,Other IT Role,Hà Nội,Not Specified
Fresh Full Stack Developer,XionTech,ITViec,Full-stack Developer,Hồ Chí Minh,"C#, Sql"
Mid/Sr Data Engineer,Công ty Decentralab,ITViec,Data Engineer,Đà Nẵng,Python
React Native Developer,Công ty Cổ phần BDS PRO,ITViec,Mobile Developer,Hà Nội,"Typescript, Javascript, Aws, React, Java, Swift"
System Engineer - Hanoi,VNG Corporation,ITViec,System Engineer,Hà Nội,"Docker, Shell, Python"
Senior Android Developer,TP Entertainment,ITViec,Mobile Developer,Hà Nội,Kotlin
Solution Architect,One Mount Group,ITViec,Solution Architect,Hà Nội,"Java, Agile, Sql"
Software Engineer,Công ty TNHH Global Zeus Vina,ITViec,Software Engineer,Hà Nội,"C++, C#"
Business Analyst,"3 Points Aviation Vietnam Co., Ltd",ITViec,Business Analyst,Hà Nội,Sql
Automation Test Lead,Endava Việt Nam,ITViec,Automation Test Lead,Hồ Chí Minh,"Java, Agile, Sql"
Middle/Senior Java API Engineer,TymeX,ITViec,Backend Developer,Hồ Chí Minh,"Java, Aws, Agile, Docker"
Senior Java Backend Engineer,HRS Group,ITViec,Backend Developer,Hồ Chí Minh,"Java, Aws"
Data Engineering,HDBank,ITViec,Data Engineer,Hồ Chí Minh,"Aws, Sql, Python"
Senior Odoo Developer,Novobi,ITViec,Senior Odoo Developer,Hồ Chí Minh,"Sql, Javascript, Python, Html, Css"
Fullstack Developer,"Allgrowlabo Co.,Ltd.",ITViec,Fullstack Developer,Hồ Chí Minh,"React, Html, Javascript, Css"
Tester,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GPET,ITViec,QA Engineer,Hồ Chí Minh,Not Specified
AI Engineer,Công ty cổ phần Piscale,ITViec,AI Engineer,Hà Nội,"Go, Python"
Backend Engineer,LINE Vietnam,ITViec,Backend Developer,Hồ Chí Minh,"Java, Kotlin"
[Boomi] API Integration Engineer,N.A.M,ITViec,API Integration Engineer,Hồ Chí Minh,"Javascript, Groovy"
Java Engineer,Công ty Cổ phần Tập đoàn Nagakawa,ITViec,Backend Developer,Hà Nội,"Java, Sql"
MES Engineer,JCV Corp,ITViec,Other IT Role,Not Specified,
Chuyên gia chính sách và tuân thủ An ninh thông tin-GRC,SSI Securities Corporation,ITViec,Cybersecurity Specialist,Hà Nội,
ITSM Engineering,TymeX,ITViec,ITSM Engineer,Hồ Chí Minh,Agile
Senior System Software Engineer,Công ty TNHH NBIV,ITViec,Software Engineer,Hồ Chí Minh,Python
Fullstack Dev,Epsilon Labs,ITViec,Fullstack Developer,Hồ Chí Minh,"React, Javascript, Python, Sql"
Backend/Platform Engineer,GEEK UP,ITViec,Backend Developer,Hồ Chí Minh,"Java, Agile, Golang, Docker"
Python Developer,CÔNG TY TNHH M4G,ITViec,Backend Developer,Hồ Chí Minh,"Docker, Python"
Senior Java Software Engineer,Integro Technologies,ITViec,Software Engineer,Hà Nội,"Docker, Javascript, Aws, Java, Agile"
Python Developer,LitGroup,ITViec,Python Developer,Hà Nội,Python
Senior MIS Specialist,CÔNG TY TNHH MTV STRIDE,ITViec,Data Analyst,Hồ Chí Minh,"Java, Sql, Python"
Data Analyst – StoreFront eCommerce | $55K/year,Crossian,ITViec,Data Analyst,Hà Nội,"Agile, Sql, Python"
Kỹ sư cầu nối,TORA TECH,ITViec,BrSE,Hồ Chí Minh,"Ios, .Net, Android, Java, Php"
Back End Developer,LG CNS Việt Nam,ITViec,Backend Developer,Hà Nội,"Java, Aws, Sql, Python"
"Senior Software Tester, Global E-commerce Data Platform",Crossian,ITViec,QA Engineer,Hà Nội,"Agile, Not Specified"
Game Designer,HiGame,ITViec,Game Developer,Hà Nội,Not Specified
Senior Mobile Developer,Blue Belt Technology,ITViec,Mobile Developer,Hà Nội,"Objective C, Docker, Kotlin, Aws, Java, Agile, Swift"
Chuyên viên An toàn thông tin,Công Ty Cổ Phần Chứng Khoán Quốc Gia - NSI,ITViec,Cybersecurity Specialist,Hà Nội,Docker
QA Engineer,Nakivo,ITViec,QA Engineer,Hồ Chí Minh,"Aws, Agile, Javascript, Python"
Junior Frontend Developer,CÔNG TY TNHH JDO GROUP,ITViec,Frontend Developer,Đà Nẵng,"React, Typescript, Javascript"
Mid. Frontend Dev - HTML5/CSS3/JavaScript,SOLIS LAB,ITViec,Frontend Developer,Hà Nội,"Css3, Html5, Javascript, React, Css"
DevOps Engineer,Optimizely,ITViec,DevOps Engineer,Hà Nội,"Aws, Powershell"
AWS DevOps Lead,TymeX,ITViec,DevOps Engineer,Hồ Chí Minh,"Java, Aws, Agile, Python"
Data Scientist,Viettel Group,ITViec,Data Scientist,Hà Nội,"R, Sql, Python"
Senior Java Software Engineer,DOL English,ITViec,Software Engineer,Hồ Chí Minh,"Java, Aws, Agile"
Senior Salesforce Engineer,Orient Software Development Corp.,ITViec,Senior Salesforce Engineer,Hà Nội,"Html, Javascript, Agile, Css"
Data Engineer,Công Ty Cổ Phần Chứng Khoán Thành Công,ITViec,Data Engineer,Hồ Chí Minh,"Java, Sql, Python"
Senior Tester,"Niteco Vietnam Co., Ltd",ITViec,QA Engineer,Hồ Chí Minh,Sql
System Admin,Gene Solutions,ITViec,System Admin,Hồ Chí Minh,"Docker, Aws, Sql"
"Product Owner, Thu nhập Upto 20M",CNV Holdings,ITViec,Product Owner,Hồ Chí Minh,Agile
Nhân viên IT,Công ty Cổ phần Tập đoàn Dekko,ITViec,Other IT Role,Hà Nội,Not Specified
Embedded Software Engineer,Hitachi Digital Services,ITViec,Embedded Engineer,Hồ Chí Minh,"C++, C"
Fresher-Junior Android Developer,NANOBYTE SOFTWARE TECHNOLOGY,ITViec,Mobile Developer,Đà Nẵng,"Java, Swift, Kotlin"
Scrum Master,Techcom Securities,ITViec,Scrum Master,Hà Nội,Agile
Backend Developer,Y Tế Phương Đông,ITViec,Backend Developer,Hà Nội,"Php, Sql"
Middle/ Senior iOS Developer - Up to 3200$,Spartan Dev Inc,ITViec,iOS Developer,Hồ Chí Minh,Swift
Mid/Senior Backend Engineer,Employment Hero,ITViec,Backend Developer,Hồ Chí Minh,"Aws, Go, Python, Java, Php, Agile, Ruby"
"Data Engineer, Zalopay",VNG Corporation,ITViec,Data Engineer,Hồ Chí Minh,"Java, Scala, Python"
03 Backend Dev,"INDTI TECHNOLOGY SERVICES AND TRADING CO., LTD",ITViec,Backend Developer,Hà Nội,"Typescript, Sql, Docker, Javascript, Java, C#"
Unity Game Developer - MINTROCKET,NEXON DEV VINA,ITViec,Game Developer,Hồ Chí Minh,C#
Product Owner,TechLead,ITViec,Product Owner,Hà Nội,Agile
Senior Backend Engineer,Chotot,ITViec,Backend Developer,Hồ Chí Minh,"Docker, Javascript, Python, Java, Golang"
[Da Nang] Junior Developer,Pasona Tech Việt Nam,ITViec,Developer,Đà Nẵng,"Docker, Agile, Javascript, Python"
UI Designer,Công ty TNHH Marketing Metas Group,ITViec,UI Designer,Hà Nội,
[Da Nang & Ho Chi Minh] Scrum Master,ONE Tech Stop Vietnam Company Ltd,ITViec,Scrum Master,Đà Nẵng,"Agile, Not Specified"
Senior QA/QC Engineer/Designer,"ANDPAD VietNam Co., Ltd",ITViec,QA Engineer,Hồ Chí Minh,"Docker, Kotlin, Go, Ruby, Agile, Swift"
Automation Test,"INFINIQ Vietnam Co.,Ltd",ITViec,QA Engineer,Hà Nội,"Agile, Python"
Chuyên viên Quản trị cơ sở dữ liệu - DBA,VRB,ITViec,Database Engineer,Hà Nội,Sql
Quality Assurance Lead,TymeX,ITViec,Quality Assurance Lead,Hồ Chí Minh,"Javascript, Aws, Python, Java, Agile"
Senior IT Business Analyst,Vietnam Silicon,ITViec,Business Analyst,Hồ Chí Minh,Sql
Chuyên gia Phát triển và Tích hợp dữ liệu - K.CNTT,PVcomBank,ITViec,Data Engineer,Hà Nội,"Aws, Sql"
"Junior Data Engineer, Global E-commerce Data Platform",Crossian,ITViec,Data Engineer,Hà Nội,"Sql, Agile, Aws, Python, C#"
Product Management  - Viettel Future Changemakers 2025,Viettel Group,ITViec,Product Management,Hà Nội,
Chuyên viên Triển khai và hỗ trợ phần mềm y tế,CÔNG TY TNHH CÔNG NGHỆ SỐ VÀ CHUYỂN ĐỔI SỐ Y TẾ,ITViec,Other IT Role,Hà Nội,"C#, Sql, Html, Css"
Senior Frontend Engineer,Crossian,ITViec,Frontend Developer,Hà Nội,"Aws, React, Agile, Javascript"
Software Engineer,EUROFINS GSC IT VIETNAM COMPANY LIMITED,ITViec,Software Engineer,Hồ Chí Minh,"C#, Sql, Agile"
Senior Software Engineer - Backend,ShopBack,ITViec,Backend Developer,Hồ Chí Minh,"Aws, Typescript, Node.Js"
Golang Engineer,"MONEY FORWARD VIETNAM CO.,LTD",ITViec,Backend Developer,Hồ Chí Minh,"Docker, Aws, React, Python, Golang"
Android Developer,Công ty CP Masscom Việt Nam,ITViec,Mobile Developer,Hà Nội,Dart
Intermediate/Senior Data Engineer,Crossian,ITViec,Data Engineer,Hà Nội,"Sql, Agile, Aws, Python, Java, C#"
Middle/Senior Backend Developer,Unity Sport JSC,ITViec,Backend Developer,Hồ Chí Minh,"Javascript, Sql"
"Data Product Manager, Global Supply Chain System",Crossian,ITViec,Data Product Manager,Hà Nội,"Agile, Sql, Python"
Senior Fullstack Engineer,Collaboration Betters The World - B.O.T,ITViec,Full-stack Developer,Hồ Chí Minh,"Typescript, Docker, Javascript, Aws, React"
Junior React Developer,INTECH Group,ITViec,Frontend Developer,Hà Nội,"Typescript, Javascript, React, Html, Css"
Senior Backend Engineer,Reforged Labs,ITViec,Backend Developer,Hồ Chí Minh,"Golang, Aws, Agile"
Business Analyst,Softel Solutions,ITViec,Business Analyst,Hà Nội,
Tech Lead,Buymed,ITViec,Tech Lead,Hồ Chí Minh,"Golang, React, Python"
Junior Java Developer,VINX VIETNAM,ITViec,Backend Developer,Hồ Chí Minh,"Sql, Javascript, Html/Css, Java, Html, Css"
[HCM] Salesforce Developer,Hybrid Technologies,ITViec,Salesforce Developer,Hồ Chí Minh,"Apex, Javascript"
Middle/Senior Java Developer,Saigon Technology,ITViec,Java Developer,Hồ Chí Minh,"Java, Aws, Agile, Docker"
Product Owner Manager,Infinity Technologies Global,ITViec,Product Owner,Hà Nội,Agile
Mobile Engineer,Teko Vietnam,ITViec,Mobile Developer,Hà Nội,"Agile, Dart"
Senior Data Engineer,Simple Tech Investment,ITViec,Data Engineer,Hồ Chí Minh,"Aws, Java, Scala, Python"
Senior Software Engineer,SHBFinance,ITViec,Software Engineer,Hà Nội,"Sql, Docker, Javascript, Aws, Java, Php, Html, Css"
,MB Bank,ITViec,Backend Developer,Hà Nội,"Java, Docker"
Software Developer,JCV Corp,ITViec,Software Developer,Hải Phòng,".Net, Sql, Html, Javascript, C#, Css"
Frontend/Full Stack Developer,INTOWELL,ITViec,Frontend Developer,Hà Nội,"Docker, Aws, Javascript, Html/Css"
MMORPG Server Developer,NEXON DEV VINA,ITViec,Game Developer,Hồ Chí Minh,C++
Product Manager,NEXDOR VIET NAM,ITViec,Product Manager,Hồ Chí Minh,Agile
UI-UX Designer,Công ty ETU Mobile,ITViec,UI-UX Designer,Hà Nội,
Project Manager,Công ty Cổ phần Chứng khoán VPBank,ITViec,IT Project Manager,Hà Nội,
UX/UI Design Leader,HONGTHAI Technical,ITViec,UX/UI Designer,Hồ Chí Minh,
Flutter Developer,Bosch Global Software Technologies Company Limited,ITViec,Mobile Developer,Hà Nội,Dart
Senior DevOps Engineering,LYNKID JSC,ITViec,DevOps Engineer,Hà Nội,"Docker, Aws, Agile, Python"
PHP Web Application Developer,Fitech,ITViec,PHP Web Application Developer,Hà Nội,"Sql, Javascript, Php, Html, Css"
Mobile Developer,Circle,ITViec,Mobile Developer,Hồ Chí Minh,"Typescript, Javascript, Kotlin, React, Html, Swift, Css"
Senior Manual Tester,MB Bank,ITViec,QA Engineer,Hà Nội,Agile
Senior Javascript Developer,AZoom VietNam,ITViec,Backend Developer,Hà Nội,Javascript
Caspeco-Senior Backend .NET Dev,Scandinavian Software Park,ITViec,Backend Developer,Hà Nội,"Docker, C#, Sql"
